Economy,Year,Economy Code,"Population, female"
Aruba,2019,ABW,56254
Afghanistan,2019,AFG,18679089
Angola,2019,AGO,16370553
Albania,2019,ALB,1425364
Andorra,2019,AND,37502
United Arab Emirates,2019,ARE,2767844
Argentina,2019,ARG,22689693
Armenia,2019,ARM,1545834
American Samoa,2019,ASM,23786
Antigua and Barbuda,2019,ATG,48156
Australia,2019,AUS,12769708
Austria,2019,AUT,4511982
Azerbaijan,2019,AZE,5076093
Burundi,2019,BDI,5980560
Belgium,2019,BEL,5821746
Benin,2019,BEN,6138319
Burkina Faso,2019,BFA,10520378
Bangladesh,2019,BGD,83352043
Bulgaria,2019,BGR,3592085
Bahrain,2019,BHR,560779
"Bahamas, The",2019,BHS,210821
Bosnia and Herzegovina,2019,BIH,1708207
Belarus,2019,BLR,5069468
Belize,2019,BLZ,193151
Bermuda,2019,BMU,32985
Bolivia,2019,BOL,5860919
Brazil,2019,BRA,107663080
Barbados,2019,BRB,145957
Brunei Darussalam,2019,BRN,211173
Bhutan,2019,BTN,360356
Botswana,2019,BWA,1266499
Central African Republic,2019,CAF,2603472
Canada,2019,CAN,18921018
Switzerland,2019,CHE,4322218
Channel Islands,2019,CHI,85807
Chile,2019,CHL,9589082
China,2019,CHN,688179990
Cote d'Ivoire,2019,CIV,12929424
Cameroon,2019,CMR,12926852
"Congo, Dem. Rep.",2019,COD,45306478
"Congo, Rep.",2019,COG,2788979
Colombia,2019,COL,25408106
Comoros,2019,COM,393860
Cabo Verde,2019,CPV,290056
Costa Rica,2019,CRI,2538156
Cuba,2019,CUB,5688414
Curacao,2019,CUW,81416
Cayman Islands,2019,CYM,32849
Cyprus,2019,CYP,613199
Czechia,2019,CZE,5416114
Germany,2019,DEU,42096607
Djibouti,2019,DJI,540367
Dominica,2019,DMA,35755
Denmark,2019,DNK,2923497
Dominican Republic,2019,DOM,5409472
Algeria,2019,DZA,20948465
Ecuador,2019,ECU,8670974
"Egypt, Arab Rep.",2019,EGY,52189268
Eritrea,2019,ERI,1773958
Spain,2019,ESP,24030201
Estonia,2019,EST,699471
Ethiopia,2019,ETH,56745161
Finland,2019,FIN,2795813
Fiji,2019,FJI,457099
France,2019,FRA,34801750
Faroe Islands,2019,FRO,24932
"Micronesia, Fed. Sts.",2019,FSM,55307
Gabon,2019,GAB,1098462
United Kingdom,2019,GBR,33835792
Georgia,2019,GEO,1969251
Ghana,2019,GHA,15798612
Gibraltar,2019,GIB,16366
Guinea,2019,GIN,6527547
"Gambia, The",2019,GMB,1261541
Guinea-Bissau,2019,GNB,998712
Equatorial Guinea,2019,GNQ,731149
Greece,2019,GRC,5467106
Grenada,2019,GRD,61240
Greenland,2019,GRL,26563
Guatemala,2019,GTM,8380231
Guam,2019,GUM,83522
Guyana,2019,GUY,405932
"Hong Kong SAR, China",2019,HKG,4040585
Honduras,2019,HND,4927035
Croatia,2019,HRV,2089106
Haiti,2019,HTI,5625310
Hungary,2019,HUN,5092862
Indonesia,2019,IDN,133784436
Isle of Man,2019,IMN,42350
India,2019,IND,668786993
Ireland,2019,IRL,2490220
"Iran, Islamic Rep.",2019,IRN,42772045
Iraq,2019,IRQ,20774818
Iceland,2019,ISL,175683
Israel,2019,ISR,4544229
Italy,2019,ITA,30638263
Jamaica,2019,JAM,1417116
Jordan,2019,JOR,5143079
Japan,2019,JPN,65065286
Kazakhstan,2019,KAZ,9623458
Kenya,2019,KEN,25679257
Kyrgyz Republic,2019,KGZ,3286075
Cambodia,2019,KHM,8186482
Kiribati,2019,KIR,63851
St. Kitts and Nevis,2019,KNA,24562
"Korea, Rep.",2019,KOR,25889856
Kuwait,2019,KWT,1702878
Lao PDR,2019,LAO,3575847
Lebanon,2019,LBN,2967783
Liberia,2019,LBR,2505847
Libya,2019,LBY,3240076
St. Lucia,2019,LCA,90001
Liechtenstein,2019,LIE,19381
Sri Lanka,2019,LKA,11288193
Lesotho,2019,LSO,1127746
Lithuania,2019,LTU,1487938
Luxembourg,2019,LUX,308156
Latvia,2019,LVA,1030582
"Macao SAR, China",2019,MAC,351296
St. Martin (French part),2019,MAF,17372
Morocco,2019,MAR,18022621
Monaco,2019,MCO,18890
Moldova,2019,MDA,1397819
Madagascar,2019,MDG,13728596
Maldives,2019,MDV,212884
Mexico,2019,MEX,63898082
Marshall Islands,2019,MHL,21855
North Macedonia,2019,MKD,1040755
Mali,2019,MLI,10179843
Malta,2019,MLT,244207
Myanmar,2019,MMR,26616900
Montenegro,2019,MNE,318725
Mongolia,2019,MNG,1626335
Northern Mariana Islands,2019,MNP,23127
Mozambique,2019,MOZ,15433808
Mauritania,2019,MRT,2238719
Mauritius,2019,MUS,640291
Malawi,2019,MWI,9698995
Malaysia,2019,MYS,16009996
Namibia,2019,NAM,1265266
New Caledonia,2019,NCL,135854
Niger,2019,NER,11553632
Nigeria,2019,NGA,100623652
Nicaragua,2019,NIC,3379591
Netherlands,2019,NLD,8729744
Norway,2019,NOR,2652054
Nepal,2019,NPL,15128288
Nauru,2019,NRU,5955
New Zealand,2019,NZL,2517499
Oman,2019,OMN,1678067
Pakistan,2019,PAK,110278237
Panama,2019,PAN,2114030
Peru,2019,PER,16556679
Philippines,2019,PHL,54369671
Palau,2019,PLW,8537
Papua New Guinea,2019,PNG,4605722
Poland,2019,POL,19595179
Puerto Rico,2019,PRI,1679953
"Korea, Dem. People's Rep.",2019,PRK,13047566
Portugal,2019,PRT,5430271
Paraguay,2019,PRY,3249592
West Bank and Gaza,2019,PSE,2350358
French Polynesia,2019,PYF,147819
Qatar,2019,QAT,751299
Romania,2019,ROU,9994608
Russian Federation,2019,RUS,77329730
Rwanda,2019,RWA,6568936
Saudi Arabia,2019,SAU,14991273
Sudan,2019,SDN,21624451
Senegal,2019,SEN,8140163
Singapore,2019,SGP,2722116
Solomon Islands,2019,SLB,329962
Sierra Leone,2019,SLE,4016374
El Salvador,2019,SLV,3287678
San Marino,2019,SMR,17527
Somalia,2019,SOM,7969926
Serbia,2019,SRB,3614847
South Sudan,2019,SSD,5280526
Sao Tome and Principe,2019,STP,107476
Suriname,2019,SUR,300864
Slovak Republic,2019,SVK,2790976
Slovenia,2019,SVN,1042591
Sweden,2019,SWE,5110007
Eswatini,2019,SWZ,589812
Sint Maarten (Dutch part),2019,SXM,19488
Seychelles,2019,SYC,46256
Syrian Arab Republic,2019,SYR,10024320
Turks and Caicos Islands,2019,TCA,21341
Chad,2019,TCD,8032044
Togo,2019,TGO,4101080
Thailand,2019,THA,36584375
Tajikistan,2019,TJK,4640105
Turkmenistan,2019,TKM,3108189
Timor-Leste,2019,TLS,627425
Tonga,2019,TON,52956
Trinidad and Tobago,2019,TTO,768058
Tunisia,2019,TUN,6086590
Turkiye,2019,TUR,41614734
Tuvalu,2019,TUV,5301
Tanzania,2019,TZA,30309141
Uganda,2019,UGA,21707475
Ukraine,2019,UKR,23824417
Uruguay,2019,URY,1769262
United States,2019,USA,165599805
Uzbekistan,2019,UZB,16783206
St. Vincent and the Grenadines,2019,VCT,51288
"Venezuela, RB",2019,VEN,14605811
British Virgin Islands,2019,VGB,15825
Virgin Islands (U.S.),2019,VIR,56473
Vietnam,2019,VNM,48488283
Vanuatu,2019,VUT,151256
Samoa,2019,WSM,103759
Kosovo,2019,XKX,896722
"Yemen, Rep.",2019,YEM,15593113
South Africa,2019,ZAF,29879107
Zambia,2019,ZMB,9314079
Zimbabwe,2019,ZWE,8122618