Economy,Year,Economy Code,Proportion of seats held by women in national parliaments (%)
Aruba,2019,ABW,
Afghanistan,2019,AFG,27.8688524590164
Angola,2019,AGO,30
Albania,2019,ALB,29.5081967213115
Andorra,2019,AND,46.4285714285714
United Arab Emirates,2019,ARE,50
Argentina,2019,ARG,40.1574803149606
Armenia,2019,ARM,23.4848484848485
American Samoa,2019,ASM,
Antigua and Barbuda,2019,ATG,11.1111111111111
Australia,2019,AUS,30.4635761589404
Austria,2019,AUT,39.344262295082
Azerbaijan,2019,AZE,16.8067226890756
Burundi,2019,BDI,36.3636363636364
Belgium,2019,BEL,42
Benin,2019,BEN,7.2289156626506
Burkina Faso,2019,BFA,13.3858267716535
Bangladesh,2019,BGD,20.6303724928367
Bulgaria,2019,BGR,25.8333333333333
Bahrain,2019,BHR,15
"Bahamas, The",2019,BHS,12.8205128205128
Bosnia and Herzegovina,2019,BIH,21.4285714285714
Belarus,2019,BLR,40
Belize,2019,BLZ,9.375
Bermuda,2019,BMU,
Bolivia,2019,BOL,53.0769230769231
Brazil,2019,BRA,15.009746588694
Barbados,2019,BRB,20
Brunei Darussalam,2019,BRN,9.09090909090909
Bhutan,2019,BTN,14.8936170212766
Botswana,2019,BWA,10.7692307692308
Central African Republic,2019,CAF,8.57142857142857
Canada,2019,CAN,28.9940828402367
Switzerland,2019,CHE,41.5
Channel Islands,2019,CHI,
Chile,2019,CHL,22.5806451612903
China,2019,CHN,24.9411764705882
Cote d'Ivoire,2019,CIV,10.9803921568627
Cameroon,2019,CMR,31.1111111111111
"Congo, Dem. Rep.",2019,COD,10
"Congo, Rep.",2019,COG,11.2582781456954
Colombia,2019,COL,18.7134502923977
Comoros,2019,COM,6.06060606060606
Cabo Verde,2019,CPV,23.6111111111111
Costa Rica,2019,CRI,45.6140350877193
Cuba,2019,CUB,53.2231404958678
Curacao,2019,CUW,
Cayman Islands,2019,CYM,
Cyprus,2019,CYP,17.8571428571429
Czechia,2019,CZE,22.5
Germany,2019,DEU,30.8885754583921
Djibouti,2019,DJI,26.1538461538462
Dominica,2019,DMA,25
Denmark,2019,DNK,39.1061452513966
Dominican Republic,2019,DOM,26.8421052631579
Algeria,2019,DZA,25.7575757575758
Ecuador,2019,ECU,37.956204379562
"Egypt, Arab Rep.",2019,EGY,14.9328859060403
Eritrea,2019,ERI,22
Spain,2019,ESP,44
Estonia,2019,EST,29.7029702970297
Ethiopia,2019,ETH,38.7568555758684
Finland,2019,FIN,47
Fiji,2019,FJI,19.6078431372549
France,2019,FRA,39.6880415944541
Faroe Islands,2019,FRO,
"Micronesia, Fed. Sts.",2019,FSM,0
Gabon,2019,GAB,17.910447761194
United Kingdom,2019,GBR,32
Georgia,2019,GEO,14.7651006711409
Ghana,2019,GHA,13.0909090909091
Gibraltar,2019,GIB,
Guinea,2019,GIN,22.8070175438596
"Gambia, The",2019,GMB,10.3448275862069
Guinea-Bissau,2019,GNB,13.7254901960784
Equatorial Guinea,2019,GNQ,21
Greece,2019,GRC,20.6666666666667
Grenada,2019,GRD,46.6666666666667
Greenland,2019,GRL,
Guatemala,2019,GTM,19.375
Guam,2019,GUM,
Guyana,2019,GUY,31.8840579710145
"Hong Kong SAR, China",2019,HKG,
Honduras,2019,HND,21.09375
Croatia,2019,HRV,20.5298013245033
Haiti,2019,HTI,2.54237288135593
Hungary,2019,HUN,12.5628140703518
Indonesia,2019,IDN,17.3913043478261
Isle of Man,2019,IMN,
India,2019,IND,14.3911439114391
Ireland,2019,IRL,22.1518987341772
"Iran, Islamic Rep.",2019,IRN,5.88235294117647
Iraq,2019,IRQ,25.2279635258359
Iceland,2019,ISL,38.0952380952381
Israel,2019,ISR,23.3333333333333
Italy,2019,ITA,35.7142857142857
Jamaica,2019,JAM,17.4603174603175
Jordan,2019,JOR,15.3846153846154
Japan,2019,JPN,10.1075268817204
Kazakhstan,2019,KAZ,27.1028037383178
Kenya,2019,KEN,21.7765042979943
Kyrgyz Republic,2019,KGZ,19.1666666666667
Cambodia,2019,KHM,20
Kiribati,2019,KIR,6.52173913043478
St. Kitts and Nevis,2019,KNA,13.3333333333333
"Korea, Rep.",2019,KOR,16.6666666666667
Kuwait,2019,KWT,4.61538461538462
Lao PDR,2019,LAO,27.5167785234899
Lebanon,2019,LBN,4.6875
Liberia,2019,LBR,12.3287671232877
Libya,2019,LBY,15.9574468085106
St. Lucia,2019,LCA,16.6666666666667
Liechtenstein,2019,LIE,12
Sri Lanka,2019,LKA,5.33333333333333
Lesotho,2019,LSO,23.3333333333333
Lithuania,2019,LTU,21.2765957446809
Luxembourg,2019,LUX,25
Latvia,2019,LVA,30
"Macao SAR, China",2019,MAC,
St. Martin (French part),2019,MAF,
Morocco,2019,MAR,20.5063291139241
Monaco,2019,MCO,33.3333333333333
Moldova,2019,MDA,25.7425742574257
Madagascar,2019,MDG,15.8940397350993
Maldives,2019,MDV,4.59770114942529
Mexico,2019,MEX,48.2
Marshall Islands,2019,MHL,6.06060606060606
North Macedonia,2019,MKD,39.1666666666667
Mali,2019,MLI,9.52380952380952
Malta,2019,MLT,14.9253731343284
Myanmar,2019,MMR,11.3163972286374
Montenegro,2019,MNE,28.3950617283951
Mongolia,2019,MNG,17.3333333333333
Northern Mariana Islands,2019,MNP,
Mozambique,2019,MOZ,41.2
Mauritania,2019,MRT,20.2614379084967
Mauritius,2019,MUS,20
Malawi,2019,MWI,22.9166666666667
Malaysia,2019,MYS,14.4144144144144
Namibia,2019,NAM,42.7083333333333
New Caledonia,2019,NCL,
Niger,2019,NER,16.9590643274854
Nigeria,2019,NGA,3.38028169014084
Nicaragua,2019,NIC,44.5652173913043
Netherlands,2019,NLD,31.3333333333333
Norway,2019,NOR,40.8284023668639
Nepal,2019,NPL,32.7272727272727
Nauru,2019,NRU,10.5263157894737
New Zealand,2019,NZL,40.8333333333333
Oman,2019,OMN,2.32558139534884
Pakistan,2019,PAK,20.2346041055718
Panama,2019,PAN,21.1267605633803
Peru,2019,PER,30
Philippines,2019,PHL,27.9605263157895
Palau,2019,PLW,12.5
Papua New Guinea,2019,PNG,0
Poland,2019,POL,28.695652173913
Puerto Rico,2019,PRI,
"Korea, Dem. People's Rep.",2019,PRK,17.6128093158661
Portugal,2019,PRT,38.695652173913
Paraguay,2019,PRY,15
West Bank and Gaza,2019,PSE,
French Polynesia,2019,PYF,
Qatar,2019,QAT,9.75609756097561
Romania,2019,ROU,21.8844984802432
Russian Federation,2019,RUS,15.7777777777778
Rwanda,2019,RWA,61.25
Saudi Arabia,2019,SAU,19.8675496688742
Sudan,2019,SDN,
Senegal,2019,SEN,41.8181818181818
Singapore,2019,SGP,23
Solomon Islands,2019,SLB,4.08163265306122
Sierra Leone,2019,SLE,12.3287671232877
El Salvador,2019,SLV,30.952380952381
San Marino,2019,SMR,25
Somalia,2019,SOM,24.3636363636364
Serbia,2019,SRB,37.6518218623482
South Sudan,2019,SSD,28.4595300261097
Sao Tome and Principe,2019,STP,14.5454545454545
Suriname,2019,SUR,31.3725490196078
Slovak Republic,2019,SVK,20
Slovenia,2019,SVN,27.7777777777778
Sweden,2019,SWE,47.2779369627507
Eswatini,2019,SWZ,7.2463768115942
Sint Maarten (Dutch part),2019,SXM,
Seychelles,2019,SYC,21.2121212121212
Syrian Arab Republic,2019,SYR,13.2
Turks and Caicos Islands,2019,TCA,
Chad,2019,TCD,14.8809523809524
Togo,2019,TGO,16.4835164835165
Thailand,2019,THA,16.2
Tajikistan,2019,TJK,19.047619047619
Turkmenistan,2019,TKM,25
Timor-Leste,2019,TLS,38.4615384615385
Tonga,2019,TON,7.40740740740741
Trinidad and Tobago,2019,TTO,30.952380952381
Tunisia,2019,TUN,22.5806451612903
Turkiye,2019,TUR,17.4496644295302
Tuvalu,2019,TUV,6.25
Tanzania,2019,TZA,36.8956743002545
Uganda,2019,UGA,34.8583877995643
Ukraine,2019,UKR,20.5188679245283
Uruguay,2019,URY,19.1919191919192
United States,2019,USA,23.4338747099768
Uzbekistan,2019,UZB,16
St. Vincent and the Grenadines,2019,VCT,13.0434782608696
"Venezuela, RB",2019,VEN,22.1556886227545
British Virgin Islands,2019,VGB,
Virgin Islands (U.S.),2019,VIR,
Vietnam,2019,VNM,26.7206477732794
Vanuatu,2019,VUT,0
Samoa,2019,WSM,10
Kosovo,2019,XKX,
"Yemen, Rep.",2019,YEM,0.332225913621262
South Africa,2019,ZAF,46.3476070528967
Zambia,2019,ZMB,17.9640718562874
Zimbabwe,2019,ZWE,31.8518518518519