"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WOMENPOLVOICE","POLREPRES","PC","A","2019",30,
"AUS","WOMENPOLVOICE","POLREPRES","PC","A","2021",31.1,
"AUT","WOMENPOLVOICE","POLREPRES","PC","A","2019",37.2,
"AUT","WOMENPOLVOICE","POLREPRES","PC","A","2021",39.9,
"BEL","WOMENPOLVOICE","POLREPRES","PC","A","2019",38,
"BEL","WOMENPOLVOICE","POLREPRES","PC","A","2021",42,
"CAN","WOMENPOLVOICE","POLREPRES","PC","A","2019",26.9,
"CAN","WOMENPOLVOICE","POLREPRES","PC","A","2021",29.6,
"CZE","WOMENPOLVOICE","POLREPRES","PC","A","2019",22.5,
"CZE","WOMENPOLVOICE","POLREPRES","PC","A","2021",23,
"DNK","WOMENPOLVOICE","POLREPRES","PC","A","2019",37.4,
"DNK","WOMENPOLVOICE","POLREPRES","PC","A","2021",39.7,
"FIN","WOMENPOLVOICE","POLREPRES","PC","A","2019",46,
"FIN","WOMENPOLVOICE","POLREPRES","PC","A","2021",46,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2019",39.7,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2021",39.5,
"DEU","WOMENPOLVOICE","POLREPRES","PC","A","2019",30.9,
"DEU","WOMENPOLVOICE","POLREPRES","PC","A","2021",31.5,
"GRC","WOMENPOLVOICE","POLREPRES","PC","A","2019",18.7,
"GRC","WOMENPOLVOICE","POLREPRES","PC","A","2021",21.7,
"HUN","WOMENPOLVOICE","POLREPRES","PC","A","2019",12.6,
"HUN","WOMENPOLVOICE","POLREPRES","PC","A","2021",12.6,
"ISL","WOMENPOLVOICE","POLREPRES","PC","A","2019",38.1,
"ISL","WOMENPOLVOICE","POLREPRES","PC","A","2021",39.7,
"IRL","WOMENPOLVOICE","POLREPRES","PC","A","2019",22.2,
"IRL","WOMENPOLVOICE","POLREPRES","PC","A","2021",22.5,
"ITA","WOMENPOLVOICE","POLREPRES","PC","A","2019",35.7,
"ITA","WOMENPOLVOICE","POLREPRES","PC","A","2021",35.7,
"JPN","WOMENPOLVOICE","POLREPRES","PC","A","2019",10.2,
"JPN","WOMENPOLVOICE","POLREPRES","PC","A","2021",9.9,
"KOR","WOMENPOLVOICE","POLREPRES","PC","A","2019",17.1,
"KOR","WOMENPOLVOICE","POLREPRES","PC","A","2021",19,
"LUX","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"LUX","WOMENPOLVOICE","POLREPRES","PC","A","2021",31.7,
"MEX","WOMENPOLVOICE","POLREPRES","PC","A","2019",48.2,
"MEX","WOMENPOLVOICE","POLREPRES","PC","A","2021",48.2,
"NLD","WOMENPOLVOICE","POLREPRES","PC","A","2019",31.3,
"NLD","WOMENPOLVOICE","POLREPRES","PC","A","2021",33.3,
"NZL","WOMENPOLVOICE","POLREPRES","PC","A","2019",40,
"NZL","WOMENPOLVOICE","POLREPRES","PC","A","2021",48.3,
"NOR","WOMENPOLVOICE","POLREPRES","PC","A","2019",40.8,
"NOR","WOMENPOLVOICE","POLREPRES","PC","A","2021",44.4,
"POL","WOMENPOLVOICE","POLREPRES","PC","A","2019",29.1,
"POL","WOMENPOLVOICE","POLREPRES","PC","A","2021",28.3,
"PRT","WOMENPOLVOICE","POLREPRES","PC","A","2019",35.7,
"PRT","WOMENPOLVOICE","POLREPRES","PC","A","2021",40,
"SVK","WOMENPOLVOICE","POLREPRES","PC","A","2019",20,
"SVK","WOMENPOLVOICE","POLREPRES","PC","A","2021",22.7,
"ESP","WOMENPOLVOICE","POLREPRES","PC","A","2019",41.1,
"ESP","WOMENPOLVOICE","POLREPRES","PC","A","2021",44,
"SWE","WOMENPOLVOICE","POLREPRES","PC","A","2019",47.3,
"SWE","WOMENPOLVOICE","POLREPRES","PC","A","2021",47,
"CHE","WOMENPOLVOICE","POLREPRES","PC","A","2019",32.5,
"CHE","WOMENPOLVOICE","POLREPRES","PC","A","2021",42,
"TUR","WOMENPOLVOICE","POLREPRES","PC","A","2019",17.4,
"TUR","WOMENPOLVOICE","POLREPRES","PC","A","2021",17.3,
"GBR","WOMENPOLVOICE","POLREPRES","PC","A","2019",32,
"GBR","WOMENPOLVOICE","POLREPRES","PC","A","2021",33.9,
"USA","WOMENPOLVOICE","POLREPRES","PC","A","2019",23.5,
"USA","WOMENPOLVOICE","POLREPRES","PC","A","2021",27.3,
"BRA","WOMENPOLVOICE","POLREPRES","PC","A","2021",15.2,
"BGR","WOMENPOLVOICE","POLREPRES","PC","A","2021",27.1,
"CHL","WOMENPOLVOICE","POLREPRES","PC","A","2019",22.6,
"CHL","WOMENPOLVOICE","POLREPRES","PC","A","2021",22.6,
"COL","WOMENPOLVOICE","POLREPRES","PC","A","2019",18.1,
"COL","WOMENPOLVOICE","POLREPRES","PC","A","2021",18.8,
"HRV","WOMENPOLVOICE","POLREPRES","PC","A","2021",31.1,
"EST","WOMENPOLVOICE","POLREPRES","PC","A","2019",28.7,
"EST","WOMENPOLVOICE","POLREPRES","PC","A","2021",27.7,
"ISR","WOMENPOLVOICE","POLREPRES","PC","A","2019",29.2,
"ISR","WOMENPOLVOICE","POLREPRES","PC","A","2021",26.7,
"LVA","WOMENPOLVOICE","POLREPRES","PC","A","2019",31,
"LVA","WOMENPOLVOICE","POLREPRES","PC","A","2021",29,
"LTU","WOMENPOLVOICE","POLREPRES","PC","A","2019",21.3,
"LTU","WOMENPOLVOICE","POLREPRES","PC","A","2021",27.7,
"ROU","WOMENPOLVOICE","POLREPRES","PC","A","2019",20.7,
"ROU","WOMENPOLVOICE","POLREPRES","PC","A","2021",18.5,
"SVN","WOMENPOLVOICE","POLREPRES","PC","A","2019",24.4,
"SVN","WOMENPOLVOICE","POLREPRES","PC","A","2021",26.7,
"CRI","WOMENPOLVOICE","POLREPRES","PC","A","2019",45.6,
"CRI","WOMENPOLVOICE","POLREPRES","PC","A","2021",45.6,
"OAVG","WOMENPOLVOICE","POLREPRES","PC","A","2019",30.21,
"OAVG","WOMENPOLVOICE","POLREPRES","PC","A","2021",32.02,
